"SITE";"SUBSITE";"PLOT";"YEAR";"SiteSubsitePlot";"SiteSubsitePlotYear";"STATUS";"ValueType";"GFNARROWwalker";"FuncGroup";"SPECIES_NAME";"TREATMENT";"PointsPerPlot";"abs_abund";"abs_cover";"tot_cover_plot";"tot_abund_plot";"rel_cover";"rel_abund"
"QHI";"HE";"1";1999;"QHI:HE:1";"QHI:HE:1:1999";"LIVE";"pf_all_xy";"SEDGE";"Graminoid";"Eriophorum vaginatum";"CTL";100;149;63;94;188;67.0212765957447;79.2553191489362
"QHI";"HE";"1";1999;"QHI:HE:1";"QHI:HE:1:1999";"LIVE";"pf_all_xy";"SDECI";"Shrub";"Salix phlebophylla";"CTL";100;5;5;94;188;5.31914893617021;2.65957446808511
"QHI";"HE";"1";1999;"QHI:HE:1";"QHI:HE:1:1999";"LITTER";"pf_all_xy";"LITTER";NA;"XXXLITTER";"CTL";100;33;33;NA;NA;NA;NA
"QHI";"HE";"1";1999;"QHI:HE:1";"QHI:HE:1:1999";"LIVE";"pf_all_xy";"SDECI";"Shrub";"Salix reticulata";"CTL";100;5;5;94;188;5.31914893617021;2.65957446808511
"QHI";"HE";"1";1999;"QHI:HE:1";"QHI:HE:1:1999";"LIVE";"pf_all_xy";"LFRUT";"Lichen";"Thamnolia subuliformis";"CTL";100;6;5;NA;NA;NA;NA
"QHI";"HE";"1";1999;"QHI:HE:1";"QHI:HE:1:1999";"LIVE";"pf_all_xy";"RUSH";"Graminoid";"XXXluzula";"CTL";100;2;2;94;188;2.12765957446809;1.06382978723404
"QHI";"HE";"1";1999;"QHI:HE:1";"QHI:HE:1:1999";"LIVE";"pf_all_xy";"MOSSU";NA;"XXXothermoss";"CTL";100;17;17;NA;NA;NA;NA
"QHI";"HE";"1";1999;"QHI:HE:1";"QHI:HE:1:1999";"LIVE";"pf_all_xy";"SDECI";"Shrub";"Salix pulchra";"CTL";100;16;9;94;188;9.57446808510638;8.51063829787234
"QHI";"HE";"1";1999;"QHI:HE:1";"QHI:HE:1:1999";"LIVE";"pf_all_xy";"LFRUT";"Lichen";"Nephromopsis cucullata";"CTL";100;3;3;NA;NA;NA;NA
"QHI";"HE";"1";1999;"QHI:HE:1";"QHI:HE:1:1999";"LIVE";"pf_all_xy";"LFRUT";"Lichen";"Cetraria islandica";"CTL";100;2;2;NA;NA;NA;NA
